,情報ソース,企業名,ヘッドライン,URL,スニペット,日付,詳細
0,日本経済新聞,シャープ,シャープが新スマホ「AQUOS R9 Pro」 ライカ監修カメラ搭載 ...,https://www.nikkei.com/article/DGXZQOUC289R80Y4A021C2000000/,6 days ago ... シャープは29日、独の高級カメラメーカー、ライカが監修したカメラを搭載したスマートフォンを12月上旬以降に発売すると発表した。3つのレンズを搭載 ...,2024-10-29 16:47:11+09:00,シャープは29日、独の高級カメラメーカー、ライカが監修したカメラを搭載したスマートフォンを12月上旬以降に発売すると発表した。3つのレンズを搭載し、写真撮影にこだわりのある層の取り込みを狙う。シャープの旗艦モデル「AQUOS(アクオス) R9 pro」として発売する。価格は19万円台前半を想定する。3つのレンズで標準と広角、望遠の撮影に対応する。いずれのレンズも画素数は50
1,日本経済新聞,シャープ,シャープは｢ワオ｣なEV作れるか 特許出願10年で4分の1 坂本佳乃子 ...,https://www.nikkei.com/article/DGXZQOUF076TL0X01C24A0000000/,"Oct 17, 2024 ... シャープは電気自動車（EV）事業への参入を表明した。親会社である台湾の鴻海（ホンハイ）精密工業と組み、数年内の開発を目指す。近年のシャープは ...",2024-10-18 04:00:00+09:00,シャープは電気自動車（EV）事業への参入を表明した。親会社である台湾の鴻海（ホンハイ）精密工業と組み、数年内の開発を目指す。近年のシャープはコスト削減の一環で研究開発費を絞り、特許出願数は10年間で4分の1に減った。先端技術がみえにくいシャープにEVは作れるか。直近の2年間で計4000億円の赤字を計上し財務基盤が傷むなか、開発資金をどう捻出するかが課題になる。「従来の自動車会社の考え方や開発方
2,日本経済新聞,シャープ,シャープ、デジタルフルカラー複合機＜BP-C131WD＞を発売 - 日本 ...,https://www.nikkei.com/article/DGXZRSP680238_W4A011C2000000/,"Oct 15, 2024 ... 【プレスリリース】発表日:2024年10月16日クラス最小（※1）の設置面積で限られたスペースにもすっきり置ける環境にも配慮したA4コンパクトモデル ...",2024-10-16 17:07:22+09:00,【プレスリリース】発表日:2024年10月16日クラス最小（※1）の設置面積で限られたスペースにもすっきり置ける環境にも配慮したA4コンパクトモデルデジタルフルカラー複合機＜BP-C131WD＞を発売＊参考画像は添付の関連資料を参照シャープは、クラス最小の設置面積で、環境にも配慮したA4カラー複合機を発売します。本機は、徹底した小型化設計により、当社従来機（※2）から体積を約27
3,日本経済新聞,シャープ,シャープ、「ヘルシオ ホットクックカスタマイズサービス『新日本 ...,https://www.nikkei.com/article/DGXZRSP680009_R11C24A0000000/,"Oct 10, 2024 ... シャープ、「ヘルシオ ホットクックカスタマイズサービス『新日本プロレス』Ver.」の受注販売を期間限定で実施. 企業：シャープ. 産業：. 電機. 2024年10 ...",2024-10-11 12:29:10+09:00,【プレスリリース】発表日:2024年10月11日「ヘルシオ ホットクックカスタマイズサービス『新日本プロレス』Ver.」の受注販売を開始『新日本プロレス』とシャープによる異色のタッグが実現！シャープは、『新日本プロレス』とのコラボレーションによる「ヘルシオ ホットクックカスタマイズサービス『新日本プロレス』Ver.」の受注販売を、本日10月11日（金）から来年1月31日（金）までの期間限
4,日本経済新聞,シャープ,シャープ、半導体レーザーで害虫駆除 応用先を探索中 - 日本経済新聞,https://www.nikkei.com/article/DGXZQOUC202BR0Q4A920C2000000/,"Oct 1, 2024 ... シャープは2024年9月17〜18日に開催した自社技術の展示イベント「SHARP Tech-Day'24」（東京国際フォーラム）で、青色半導体レーザーを使った害虫駆除 ...",2024-10-02 05:00:00+09:00,シャープは2024年9月17〜18日に開催した自社技術の展示イベント「SHARP Tech-Day&#x27;24」（東京国際フォーラム）で、青色半導体レーザーを使った害虫駆除システムのデモを披露した。スクリーンに映されたガの映像をカメラで認識、パソコンで位置を予測し、光学スキャナーでレーザーの照射角を制御する。デモでは、2メートル以内の距離から動き回るガの映像を追尾してレーザーを的確に照射できる様子を見
5,日本経済新聞,シャープ,シャープ、政策株282億円売却 - 日本経済新聞,https://www.nikkei.com/article/DGKKZO83712420W4A920C2DTA000/,"Sep 26, 2024 ... シャープは26日、投資有価証券の売却益282億円を2025年3月期の特別利益に計上すると発表した。25日までに上場株5銘柄を売却した。銘柄名は非公表。",2024-09-27 02:00:00+09:00,シャープは26日、投資有価証券の売却益282億円を2025年3月期の特別利益に計上すると発表した。25日までに上場株5銘柄を売却した。銘柄名は非公表。液晶パネル事業の不振により業績が悪化するなか、政策保有株を売却し財務体質を強化する。売却益282億円のうち、101億円は24年4～6月期に計上した。残る181億円は7～9月期に計上する見通し。24年3月期の有価証券報告書によると
6,日本経済新聞,シャープ,シャープ、55万円の空気清浄機 隈研吾氏がデザイン - 日本経済新聞,https://www.nikkei.com/article/DGXZQOUF2630H0W4A920C2000000/,"Sep 25, 2024 ... シャープは26日、建築家の隈研吾氏がデザインした空気清浄機を10月21日に発売すると発表した。空間に溶け込みやすいよう、外装には本物の木材を使用 ...",2024-09-26 13:35:59+09:00,シャープは26日、建築家の隈研吾氏がデザインした空気清浄機を10月21日に発売すると発表した。空間に溶け込みやすいよう、外装には本物の木材を使用した。希望小売価格は55万円で月産最大100台を見込む。ホテルや教育施設など法人向けを中心に提供し、個人にも電子商取引（EC）サイトを通じて販売する。新製品は側面に4種類の無垢（むく）材を格子状に並べた。天面に薄さ0.6ミリメートルの木の板を6枚異なる
7,日本経済新聞,シャープ,シャープ特別利益282億円 25年3月期、政策株売却で - 日本経済新聞,https://www.nikkei.com/article/DGXZQOUF268UF0W4A920C2000000/,"Sep 25, 2024 ... シャープは26日、投資有価証券の売却益282億円を2025年3月期の特別利益に計上すると発表した。25日までに上場株5銘柄を売却した。銘柄名は非公表。",2024-09-26 18:50:00+09:00,シャープは26日、投資有価証券の売却益282億円を2025年3月期の特別利益に計上すると発表した。25日までに上場株5銘柄を売却した。銘柄名は非公表。液晶パネル事業の不振により業績が悪化するなか、政策保有株を売却し財務体質を強化する。売却益282億円のうち、101億円は24年4〜6月期に計上した。残る181億円は7〜9月期に計上する見通し。24年3月期の有価証券報告書によると、シャープは
8,日本経済新聞,シャープ,トンボ鉛筆、マークシートテストに適したシャープペンシル「モノ ...,https://www.nikkei.com/article/DGXZRSP678606_Y4A910C2000000/,"Sep 17, 2024 ... 【プレスリリース】発表日:2024年09月18日速く濃くマークできる1.3mm芯「読取精度99.99%」の評価マークシートテストに適したシャープペンシル「モノ ...",2024-09-18 15:50:50+09:00,【プレスリリース】発表日:2024年09月18日速く濃くマークできる1.3mm芯「読取精度99.99%」の評価マークシートテストに適したシャープペンシル「モノワーク」発売株式会社トンボ鉛筆（本社・東京都北区、社長・小川晃弘）は、マークシートテストで、速く濃くマークできるシャープペンシル「モノワーク」（希望小売価格594円/税抜540円）、「モノワーク 限定色フルブラック」、（同価格79
9,日本経済新聞,シャープ,シャープ、EVで鴻海と関係再構築 部品も参入検討 模型車「リビング ...,https://www.nikkei.com/article/DGKKZO83518980X10C24A9TB3000/,"Sep 17, 2024 ... シャープは17日、自社の技術展示会を都内で開き、電気自動車（EV）のコンセプトカーを発表した。親会社である台湾の鴻海（ホンハイ）精密工業と組み、 ...",2024-09-18 02:00:00+09:00,シャープは17日、自社の技術展示会を都内で開き、電気自動車（EV）のコンセプトカーを発表した。親会社である台湾の鴻海（ホンハイ）精密工業と組み、停車時に仕事をしたり映画を見たりできる「リビングの拡張空間」を提案した。シャープと鴻海は液晶事業では相乗効果を出せなかった。EVに舞台を移し、成長に寄与する新しい提携関係を築く。コンセプトカーの名称は「LDK＋」。記者がミニバンタイプの車体に乗ると、ま
